Date,Marketing_Spend_Cr,Govt_Incentives_INR,Consumer_Sentiment,Competitor_Activity,Monthly_EV_Sales
2022-10-01,15,37000,0.65,7,350
2022-11-01,5,37000,0.62,6,480
2022-12-01,4.5,37000,0.63,5,650
2023-01-01,4,37000,0.61,7,710
2023-02-01,4.2,37000,0.64,8,950
2023-03-01,4.8,37000,0.68,8,1450
2023-04-01,4.5,37000,0.7,7,1850
2023-05-01,5,37000,0.72,6,2800
2023-06-01,3.5,22400,0.6,9,1750
2023-07-01,4,22400,0.63,8,2100
2023-08-01,4.2,22400,0.66,9,2900
2023-09-01,4.5,22400,0.68,7,3850
2023-10-01,6,22400,0.75,8,5500
2023-11-01,5.5,22400,0.72,7,4800
2023-12-01,5,22400,0.71,6,4500
2024-01-01,4.8,22400,0.7,7,4200
2024-02-01,5.1,22400,0.74,8,5100
2024-03-01,5.5,22400,0.76,8,6300
2024-04-01,5.3,22400,0.75,7,5800
2024-05-01,5.8,22400,0.78,6,7100
2024-06-01,5.6,22400,0.77,7,6800
2024-07-01,5.9,22400,0.79,6,7500
2024-08-01,6.2,22400,0.81,8,8400
2024-09-01,6.5,22400,0.83,7,9300
2024-10-01,7.5,22400,0.88,8,13500
2024-11-01,7,22400,0.85,7,11500
2024-12-01,6.8,22400,0.84,6,10800
2025-01-01,6.5,22400,0.83,7,10100
2025-02-01,6.8,22400,0.85,8,11200
2025-03-01,7.2,22400,0.87,8,12800
2025-04-01,7,22400,0.86,7,11900
